1;Aphrodite;0;7;;;;;;;;;;;;
2;Apollon;7;7;;;;;;;;;;;;
3;Ares;14;7;;;;;;;;;;;;
4;Artemis;17;7;;;;;;;;;;;;
5;Athena;23;7;;;;;;;;;;;;
6;Demeter;0;13;;;;;;;;;;;;
7;Dionysos;4;13;;;;;;;;;;;;
8;Hades;23;13;;;;;;;;;;;;
9;Hephaistos;29;13;;;;;;;;;;;;
10;Hera;33;13;;;;;;;;;;;;
11;Hermes;36;16;;;;;;;;;;;;
12;Hestia;4;17;;;;;;;;;;;;
13;Poseidon;33;17;;;;;;;;;;;;
14;Zeus;11;20;;;;;;;;;;;;
15;Achille;16;20;;;;;;;;;;;;
16;Heracles;36;20;;;;;;;;;;;;
17;Minos;43;20;;;;;;;;;;;;
18;Chaos;9;22;;;;;;;;;;;;
19;Chronos;16;25;;;;;;;;;;;;
20;Gaia;43;27;;;;;;;;;;;;
21;Tartare;16;29;;;;;;;;;;;;
22;Nyx;23;29;;;;;;;;;;;;
23;Styx;30;29;;;;;;;;;;;;
24;Helios;18;34;;;;;;;;;;;;
25;Typhon;25;34;;;;;;;;;;;;
