24;24;
1;Emirhandome;1;9;3;8;5;1;15;8;3;2;;;;;;;;;;;;;
2;Monana;5;12;6;5;3;2;6;1;3;2;15;4;2;0;;;;;;;;;
3;Selame;7;3;14;4;1;3;;;;;;;;;;;;;;;;;
4;Amazigspiderman;13;8;6;3;3;1;11;6;2;3;;;;;;;;;;;;;
5;Alexicole;16;5;9;1;2;3;14;5;6;2;14;8;6;2;;;;;;;;;
6;Yapadepano;9;12;7;8;3;3;7;8;3;3;;;;;;;;;;;;;
7;Wokuwoku;12;15;8;4;3;2;;;;;;;;;;;;;;;;;
8;Chidelyon;16;15;10;7;3;2;11;8;3;0;11;8;3;0;12;0;1;3;;;;;
9;Wokanda;19;8;11;2;3;1;11;7;3;1;;;;;;;;;;;;;
10;Ffquatorze;20;15;12;3;1;1;;;;;;;;;;;;;;;;;
11;Duck-duck;16;11;;;;;;;;;;;;;;;;;;;;;
12;Catland;18;17;13;2;2;3;13;8;2;3;;;;;;;;;;;;;
13;Partpartpart;20;19;;;;;;;;;;;;;;;;;;;;;
14;Beingchilling;9;5;15;0;4;1;15;3;4;1;;;;;;;;;;;;;
15;Adomination;5;9;;;;;;;;;;;;;;;;;;;;;
